title,release_year,location,lat,lng,fun_fact,production_company,distributor,director,writer,actor1,actor2,actor3
The Conversation,1974,Alamo Square (Hayes Valley),37.7768299,-122.428296,,American Zoetrope,Paramount Pictures,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman,,Mandy Patinkin
Freebie and the Bean,1974,Stockton Tunnel (Stockton Street at Sutter Street),37.7874692,-122.4226315,"Opened in 1914, the Stockton Tunnel was built to provide North Beach residents access to the thriving downtown area.",Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,
The Conversation,1974,"Cathedral Hill Hotel (1101 Van Ness Avenue, Civic Center)",37.785978,-122.422312,,American Zoetrope,Paramount Pictures,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman,,
Freebie and the Bean,1974,TransAmerica Pyramid (600 Montgomery Street),37.7749295,-122.4194155,"The Pyramid was the tallest skyscraper west of the Mississippi from 1972-1974, until it was surpassed by Los Angeles' Aon Center. ",Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,
Freebie and the Bean,1974,Alco Plaza,37.7749295,-122.4194155,,Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,Katherine Hepburn
The Conversation,1974,Alta Plaza Park (Steiner Street),37.7749295,-122.4194155,The park was originally a rock quarry and served as a campground for many survivors of the 1906 earthquake. The site was converted to a park in 1910.,American Zoetrope,Paramount Pictures,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman,,
The Towering Inferno,1974,Firestation #38 (California & Laguna),37.7749295,-122.4194155,,Irwin Allen Productions,Twentieth Century - Fox,John Guillermin,Stirling Silliphant,Steve McQueen,Paul Newman,Andy Garcia
Herbie Rides Again,1974,Sheraton Palace Hotel (639 Market Street),37.7749295,-122.4194155,"The hotel was destroyed in the 1906 earthquake and fire, had to be rebuilt, and was reopened in 1909. ",Walt Disney Productions,Buena Vista Distribution,Robert Stevenson,Bill Walsh,Helen Hayes,Ken Berry,Tom Cruise
Herbie Rides Again,1974,Castagnola's Restaurant (Fisherman's Wharf),37.8079996,-122.4177434,,Walt Disney Productions,Buena Vista Distribution,Robert Stevenson,Bill Walsh,Helen Hayes,Ken Berry,Tom Cruise
Freebie and the Bean,1974,Nob Hill,37.793014,-122.416113,"Railroad tycoons like Leland Stanford (founder of Stanford University) lived in Nob Hill at the turn of the 20th Century. The 1906 earthquake completely destroeyd Nob Hill, with the exception of the wall that surrounded the mansions of Stanford and his neighbor Mark Hopkins. ",Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,
The Towering Inferno,1974,Grace Cathedral Episcopal Church (1100 California Street),37.7920733,-122.4134177,Grace Cathedral Episcopal Church is the West Coast's largest Episcopalian cathedral.,Irwin Allen Productions,Twentieth Century - Fox,John Guillermin,Stirling Silliphant,Steve McQueen,Paul Newman,Andy Garcia
Freebie and the Bean,1974,"Fairmont Hotel (950 Mason Street, Nob Hill)",37.7923392,-122.4105175,"In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinus drafted the charter in the hotel's Garden Room.",Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,
The Towering Inferno,1974,"Fairmont Hotel (950 Mason Street, Nob Hill)",37.7923392,-122.4105175,"In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinus drafted the charter in the hotel's Garden Room.",Irwin Allen Productions,Twentieth Century - Fox,John Guillermin,Stirling Silliphant,Steve McQueen,Paul Newman,Andy Garcia
The Conversation,1974,"Westin St. Francis Hotel (335 Powell Street, Union Square)",37.7878481,-122.4088069,"The hotel was originally supposed to be named the Crocker Hotel, after Charles Founder the railroad magnate who founded it. However, the hotel took the name the St. Francis after one of the earliest Gold Rush hotels. ",American Zoetrope,Paramount Pictures,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman,,
The Conversation,1974,"Saks Fifth Avenue (384 Post Street, Union Square)",37.7885778,-122.4081582,,American Zoetrope,Paramount Pictures,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman,,
The Conversation,1974,Union Square,37.7879938,-122.4074374,"During the Civil War, pro-Union rallies were held in the Square, and thus the area was called ""Union Square"". ",American Zoetrope,Paramount Pictures,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman,,
The Conversation,1974,"Neiman Marcus (150 Stockton Street, Union Square)",37.7866815,-122.4068162,In the film the City of Paris Department Store is featured. That establishment was located where Neiman Marcus stnads today,American Zoetrope,Paramount Pictures,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman,,
Freebie and the Bean,1974,Broadway and Columbus Avenue (North Beach),37.7978825,-122.4067348,,Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,Katherine Hepburn
The Conversation,1974,"American Roofing Co. Building (297 Kansas Street, Potrero Hill)",37.7663064,-122.4035011,,American Zoetrope,Paramount Pictures,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman,,
Freebie and the Bean,1974,Folsom Street (SOMA),37.7806068,-122.403184,,Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,
Freebie and the Bean,1974,Potrero Hill,37.7604929,-122.400869,The crookedest street in San Fransisco is actually Potrero Hill's Vermont Street between 20th St & 22nd St.,Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,
The Conversation,1974,Financial District,37.7945742,-122.3999445,,American Zoetrope,Paramount Pictures,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman,,
The Conversation,1974,One Embarcadero Center (Financial District),37.7950137,-122.3994346,,American Zoetrope,Paramount Pictures,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman,,
The Conversation,1974,Alcoa Building (1 Maritime Plaza),37.7954924,-122.3992123,"A partially-above ground parking structure near the building made it necessary for architects to make the Alcoa Building's diagonal bracing visible, instead of placing it inside and drastically reducing the amount usable interior space. ",American Zoetrope,Paramount Pictures,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman,,
Freebie and the Bean,1974,Hyatt Regency Hotel (5 Embarcadero Center),37.7944232,-122.3955429,,Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,
The Towering Inferno,1974,"Hyatt Regency Hotel (5 Embarcadero Center, Financial District)",37.7944232,-122.3955429,,Irwin Allen Productions,Twentieth Century - Fox,John Guillermin,Stirling Silliphant,Steve McQueen,Paul Newman,Andy Garcia
Freebie and the Bean,1974,Embarcadero Freeway,37.7472584,-122.3936442,,Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,
Freebie and the Bean,1974,Candlestick Park (602 Jamestown Ave.),37.7135683,-122.3857794,"Then Vice President Richard Nixon threw out the first pitch when Candlestick openend in 1960. On August 29, 1966, The Beatles played their last concert for paying fans at Candlestick Park.",Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,Katherine Hepburn
The Towering Inferno,1974,"Bank of America Building (555 California Street, Financial District)",35.4259589,-120.604208,"The Bank of America Building was the tallest building on the West Coast from 1969-1972, when it was surpassed by the TransAmerica Pyramid. Today, the Bank of America building is the 5th tallest building on the West Coast.",Irwin Allen Productions,Twentieth Century - Fox,John Guillermin,Stirling Silliphant,Steve McQueen,Paul Newman,Andy Garcia
The Enforcer,1976,Sutter & Webster Streets,37.7862944,-122.4316212,,Warner Bros. Pictures,Warner Bros. Pictures,James Fargo,Stirling Silliphant,Clint Eastwood,Tyne Daly,Carrie-Anne Moss
Family Plot,1976,2230 Sacramento Street,37.7905823,-122.4305981,"Called ""1001 Franklin"" in the film.",Universal Pictures,Universal Pictures,Alfred Hitchcock,Ernest Lehman,Bruce Dern,Barbara Harris,
The Enforcer,1976,Alcatraz Island,37.8269775,-122.4229555,Alcatraz Island was a military fort before it became a prison.,Warner Bros. Pictures,Warner Bros. Pictures,James Fargo,Stirling Silliphant,Clint Eastwood,Tyne Daly,Giovanni Ribisi
The Enforcer,1976,City Hall,37.7793176,-122.4191405,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Warner Bros. Pictures,Warner Bros. Pictures,James Fargo,Stirling Silliphant,Clint Eastwood,Tyne Daly,
The Enforcer,1976,23rd & Capp Streets (Mission District),37.7539092,-122.4175084,,Warner Bros. Pictures,Warner Bros. Pictures,James Fargo,Stirling Silliphant,Clint Eastwood,Tyne Daly,Natasha Richardson
Family Plot,1976,Nob Hill,37.793014,-122.416113,"Railroad tycoons like Leland Stanford (founder of Stanford University) lived in Nob Hill at the turn of the 20th Century. The 1906 earthquake completely destroeyd Nob Hill, with the exception of the wall that surrounded the mansions of Stanford and his neighbor Mark Hopkins. ",Universal Pictures,Universal Pictures,Alfred Hitchcock,Ernest Lehman,Bruce Dern,Barbara Harris,
Family Plot,1976,Grace Cathedral Episcopal Church (1100 California Street),37.7920733,-122.4134177,Grace Cathedral Episcopal Church is the West Coast's largest Episcopalian cathedral.,Universal Pictures,Universal Pictures,Alfred Hitchcock,Ernest Lehman,Bruce Dern,Barbara Harris,
The Enforcer,1976,Balmy Street (Mission District),37.7525984,-122.4124846,,Warner Bros. Pictures,Warner Bros. Pictures,James Fargo,Stirling Silliphant,Clint Eastwood,Tyne Daly,Giovanni Ribisi
Family Plot,1976,"Fairmont Hotel (950 Mason Street, Nob Hill)",37.7923392,-122.4105175,"In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinus drafted the charter in the hotel's Garden Room.",Universal Pictures,Universal Pictures,Alfred Hitchcock,Ernest Lehman,Bruce Dern,Barbara Harris,
The Enforcer,1976,24th Street Mini Park (Mission District),37.7529931,-122.4085436,,Warner Bros. Pictures,Warner Bros. Pictures,James Fargo,Stirling Silliphant,Clint Eastwood,Tyne Daly,Giovanni Ribisi
The Enforcer,1976,Coit Tower,37.8023302,-122.4058209,"The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.",Warner Bros. Pictures,Warner Bros. Pictures,James Fargo,Stirling Silliphant,Clint Eastwood,Tyne Daly,
The Enforcer,1976,Hall of Justice,37.775471,-122.4037169,,Warner Bros. Pictures,Warner Bros. Pictures,James Fargo,Stirling Silliphant,Clint Eastwood,Tyne Daly,Dennis Miller
The Enforcer,1976,"Lefty O' Doul Drawbridge/ 3rd Street Bridge (3rd Street, China Basin)",37.7673205,-122.3892649,"This is SF's only drawbridge, and was named after Francis Joseph ""Lefty"" O'Doul, a local baseball hero.",Warner Bros. Pictures,Warner Bros. Pictures,James Fargo,Stirling Silliphant,Clint Eastwood,Tyne Daly,Dennis Miller
High Anxiety,1977,"Fort Point (Presidio, Golden Gate National Recreation Area)",37.8105374,-122.4770634,"Built in 1853, Fort Point is the only West Coast fort built by the Union Army. Though the Confederate army planned to attack San Francisco, the commanding Confererate general learned that the war had ended while en route to SF.",Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Mel Brooks,Mel Brooks,Mel Brooks,Madeline Kahn,
High Anxiety,1977,"Conservatory of Flowers, Golden Gate Park",37.7726683,-122.4587578,"The Conservatory, unveiled in 1879, is the oldest public conservatory in the Western Hemisphere.",Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Mel Brooks,Mel Brooks,Mel Brooks,Madeline Kahn,
High Crimes,1977,Condor Club (Columbus and Broadway),37.7959341,-122.4219451,,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Mel Brooks,Mel Brooks,Mel Brooks,Madeline Kahn,
High Crimes,1977,Chase H & Q  (1 Bush Street at Sansome),37.7749295,-122.4194155,,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Mel Brooks,Mel Brooks,Mel Brooks,Madeline Kahn,
High Crimes,1977,Union Square,37.7879938,-122.4074374,"During the Civil War, pro-Union rallies were held in the Square, and thus the area was called ""Union Square"". ",Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Mel Brooks,Mel Brooks,Mel Brooks,Madeline Kahn,
High Crimes,1977,Vesuvio Café (255 Columbus Avenue),37.7974835,-122.4065082,Jack Kerouac was a regular at the café.,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Mel Brooks,Mel Brooks,Mel Brooks,Madeline Kahn,
High Crimes,1977,Maiden Lane,37.7882406,-122.4052008,,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Mel Brooks,Mel Brooks,Mel Brooks,Madeline Kahn,
High Crimes,1977,Bank of America Building (555 California Street),37.791996,-122.404105,"The Bank of America Building was the tallest building on the West Coast from 1969-1972, when it was surpassed by the TransAmerica Pyramid. Today, the Bank of America building is the 5th tallest building on the West Coast.",Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Mel Brooks,Mel Brooks,Mel Brooks,Madeline Kahn,
High Anxiety,1977,Hyatt Regency Hotel (5 Embarcadero Center),37.7944232,-122.3955429,,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Mel Brooks,Mel Brooks,Mel Brooks,Madeline Kahn,
Superman,1978,Golden Gate Bridge,37.8198772,-122.4789386,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Alexander Salkind,Warner Bros. Pictures,Richard Donner,Jerry Siegel,Christopher Reeve,Gene Hackman,Artie Lang
Foul Play,1978,"Fort Point, Presidio",37.8105374,-122.4770634,"Built in 1853, Fort Point is the only West Coast fort built by the Union Army. Though the Confederate army planned to attack San Francisco, the commanding Confererate general learned that the war had ended while en route to SF.",Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,
Foul Play,1978,Sutter & Baker Streets,37.7848291,-122.4431834,,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,
Foul Play,1978,24th and Castro Streets (Noe Valley),37.7512991,-122.4340749,,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,
Foul Play,1978,Golden Gate & Steiner Streets (Hayes Valley),37.7793637,-122.433592,,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,
Invasion of the Body Snatchers,1978,720 Steiner Street (Hayes Valley),37.776381,-122.432742,,Solofilm,United Artists,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,Emma Thompson
Foul Play,1978,Fort Mason (Golden Gate National Recreation Area),37.8066569,-122.4310397,"Constructed in 1864 as a coastal defense site, Fort Mason went on to serve as an army post for more than 100 years.",Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,
Foul Play,1978,Sutter & Buchannan Streets,37.7864983,-122.4299484,,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,
Foul Play,1978,Laguna & Sacramento Streets (Pacific Heights),37.7904641,-122.4291355,,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Thomas Haden Church
Foul Play,1978,Sokoji-Soto Zen Buddhist Temple (1691 Laguna Street),37.7865095,-122.4285783,,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,
Invasion of the Body Snatchers,1978,Lafayette Park (Pacific Heights),37.7916146,-122.4276133,,Solofilm,United Artists,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,
Foul Play,1978,"Hayes Valley Care (601 Laguna Street, Hayes Valley)",37.7768864,-122.4266889,,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,
Foul Play,1978,"Postcard Row (Alamo Square, Hayes Valley)",37.7759073,-122.4245247,The 6 Victorian homes across from Alamo Square Park are among the few Victorians to survive the Great Fire.,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Thomas Haden Church
Invasion of the Body Snatchers,1978,"Postcard Row (Alamo Square, Hayes Valley)",37.7759073,-122.4245247,The 6 Victorian homes across from Alamo Square Park are among the few Victorians to survive the Great Fire.,Solofilm,United Artists,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,
Foul Play,1978,Octavia & Hayes Streets (Hayes Valley),37.7767209,-122.4243688,,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Thomas Haden Church
A Night Full of Rain,1978,Broadway (North Beach),37.7959341,-122.4219451,,Liberty Film,Warner Bros. Pictures,Lina Wertmuller,Lina Wertmuller,Candice Bergen,Giancarlo Gianni,
Foul Play,1978,War Memorial Opera House (401 Van Ness Avenue),37.7785837,-122.4207164,In 1945 the United Nations had its first conference at The War Memorial Opera House.,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,
A Night Full of Rain,1978,San Francisco Chronicle (901 Mission Street at 15th Street),37.7666481,-122.4202455,The San Francisco Zodiac Killer of the late 1960s sent his notes and letters to the Chronicle's offices.,Liberty Film,Warner Bros. Pictures,Lina Wertmuller,Lina Wertmuller,Candice Bergen,Giancarlo Gianni,
Attack of the Killer Tomatoes,1978,Hyde Street Cable Car,37.7749295,-122.4194155,SF Cable Cars are the only moving National Historical Landmark.,Four Square Productions,NAI Entertainment,John DeBello,John DeBello,David Miller,,
Invasion of the Body Snatchers,1978,Transamerica Building (600 Montgomery Street at Clay),37.7749295,-122.4194155,"The Pyramid was the tallest skyscraper west of the Mississippi from 1972-1974, until it was surpassed by Los Angeles' Aon Center. ",Solofilm,United Artists,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,Joanna Lumley
Foul Play,1978,City Hall,37.7793176,-122.4191405,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,
Invasion of the Body Snatchers,1978,City Hall,37.7793176,-122.4191405,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Solofilm,United Artists,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,Emma Thompson
Foul Play,1978,California & Larkin Streets (Nob Hill),37.7908132,-122.4190677,,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,
Foul Play,1978,Sacramento & Hyde Streets (Nob Hill),37.7919439,-122.4175955,,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,
Foul Play,1978,"Fiesta Laundromat (898 S. Van Ness Ave., Mission)",37.7589043,-122.4172646,,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,
Foul Play,1978,"Asian Art Museum (200 Larkin Street, Civic Center)",37.7802635,-122.4163842,The Dalai Lama opened an exhibition on Wisdom and Compassion at the museum in 1991.,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,
Invasion of the Body Snatchers,1978,"Department of Public Health (101 Grove Street at Polk, Civic Center)",37.7815533,-122.4156427,,Solofilm,United Artists,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,
Invasion of the Body Snatchers,1978,"Bimbo's 365 Club (1025 Columbus Avenue, North Beach)",37.8037005,-122.4155782,,Solofilm,United Artists,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,Emma Thompson
Invasion of the Body Snatchers,1978,Broadway Tunnel (Russian Hill),37.7967759,-122.4151719,,Solofilm,United Artists,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,Emma Thompson
Invasion of the Body Snatchers,1978,"Ramada Plaza Hotel Downtown (1231 Market Street, Civic Center)",37.7784671,-122.4150926,,Solofilm,United Artists,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,
Invasion of the Body Snatchers,1978,United Nations Plaza (Civic Center),37.7799084,-122.4143136,United Nations Plaza was built in 1975 and across its walkways are white lines into which the preamble to the preamble of the UN charter is carved.,Solofilm,United Artists,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,
Invasion of the Body Snatchers,1978,Hamlin Hotel (385 Eddy Street),37.78356,-122.413863,,Solofilm,United Artists,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,
A Night Full of Rain,1978,"Fairmont Hotel (950 Mason Street, Nob Hill)",37.7923392,-122.4105175,"In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinus drafted the charter in the hotel's Garden Room.",Liberty Film,Warner Bros. Pictures,Lina Wertmuller,Lina Wertmuller,Candice Bergen,Giancarlo Gianni,
Foul Play,1978,Andrew S. Hallidie Plaza (Market & Powell Streets),37.7960829,-122.4100212,,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,
Invasion of the Body Snatchers,1978,Chinatown,37.7941378,-122.4077914,"First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.",Solofilm,United Artists,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,Emma Thompson
Foul Play,1978,Flood Building (870 Market Street),37.7850632,-122.4072505,,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,
Invasion of the Body Snatchers,1978,Pier 33 (Embarcadero),37.8067766,-122.4052797,,Solofilm,United Artists,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,
Foul Play,1978,430 Vallejo Street (Telegraph Hill),37.79928,-122.404632,,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,
Invasion of the Body Snatchers,1978,1227 Montgomery Street (Telegraph Hill),37.8004649,-122.4045391,,Solofilm,United Artists,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,Emma Thompson
Invasion of the Body Snatchers,1978,32 Napier Lane,37.802602,-122.403852,,Solofilm,United Artists,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,Emma Thompson
Foul Play,1978,Montgomery & Pine Streets (Financial District),37.7919047,-122.4026124,,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Thomas Haden Church
Foul Play,1978,Pawtrero Hill Bathhouse & Feed Co. (199 Mississippi Street),37.7641092,-122.394573,,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Thomas Haden Church
A Night Full of Rain,1978,Embarcadero Freeway,37.7472584,-122.3936442,"Embarcadero Freeway, which was featured in the film was demolished in 1989 because of structural damage from the 1989 Loma Prieta Earthquake)",Liberty Film,Warner Bros. Pictures,Lina Wertmuller,Lina Wertmuller,Candice Bergen,Giancarlo Gianni,
Invasion of the Body Snatchers,1978,San Francisco Drydock (20th and Illinois Streets),37.7561141,-122.3871395,,Solofilm,United Artists,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,
Time After Time,1979,Golden Gate Park,37.7694208,-122.4862138,Golden Gate Park is similar in shape but 20% larger than New York's Central Park.,Orion Pictures Corp.,Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander,Malcolm McDowell,Mary Steenburgen,
Time After Time,1979,Golden Gate Bridge,37.8198772,-122.4789386,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Orion Pictures Corp.,Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander,Malcolm McDowell,Mary Steenburgen,
Time After Time,1979,California Academy of Sciences (Golden Gate Park),37.7698646,-122.4660947,"Founded in 1853, 3 years after California joined the United States, the Academy was originally named the California Academy of Natural Sciences and was the first institution of its kind in the United States.",Orion Pictures Corp.,Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander,Malcolm McDowell,Mary Steenburgen,
Time After Time,1979,Lombard & Broderick Streets (Marina District),37.798855,-122.4443261,,Orion Pictures Corp.,Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander,Malcolm McDowell,Mary Steenburgen,
Time After Time,1979,2340 Francisco Street,37.801086,-122.443895,,Orion Pictures Corp.,Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander,Malcolm McDowell,Mary Steenburgen,
Time After Time,1979,Chestnut & Davisadero Streets (Marina District),37.7999769,-122.4428441,,Orion Pictures Corp.,Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander,Malcolm McDowell,Mary Steenburgen,
Time After Time,1979,Lombard & Divisadero Streets (Marina District),37.7989652,-122.4426209,,Orion Pictures Corp.,Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander,Malcolm McDowell,Mary Steenburgen,
Time After Time,1979,Marina Green (Marina District),37.8066235,-122.4391137,"Before the 1906 earthquake, the land on which Marina Green sits was a tidal marsh, and rubble from the earthquake was dumped on the site. However, the site was filled in to provide land for the 1915 Panama-Pacific Exhibition. ",Orion Pictures Corp.,Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander,Malcolm McDowell,Mary Steenburgen,
Time After Time,1979,Lombard & Fillmore Streets (Marina District),37.7998893,-122.4360998,,Orion Pictures Corp.,Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander,Malcolm McDowell,Mary Steenburgen,
Time After Time,1979,100 Block of Union Street (Cow Hollow),37.7980175,-122.4350625,,Orion Pictures Corp.,Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander,Malcolm McDowell,Mary Steenburgen,Ellyn Burstyn
Time After Time,1979,Lombard & Laguna Streets (Marina District),37.8005347,-122.4311013,,Orion Pictures Corp.,Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander,Malcolm McDowell,Mary Steenburgen,
Escape From Alcatraz,1979,Alcatraz Island,37.8269775,-122.4229555,Alcatraz Island was a military fort before it became a prison.,Paramount Pictures,Paramount Pictures,Donald Siegel,Richard Tuggle,Clint Eastwood,Patrick McGoohan,Uma Thurman
Time After Time,1979,"Ghiradelli Square (900 North Point Street, Fisherman's Wharf)",37.8056595,-122.4223079,"In 1893, chocolatier Domingo Ghiradelli bought an entire city block to house the headquarters of Ghiradelli Chocolates.",Orion Pictures Corp.,Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander,Malcolm McDowell,Mary Steenburgen,
Time After Time,1979,Palace of Fine Arts (3301 Lyon Street),37.7749295,-122.4194155,"The original Palace was built for the 1915 Panama-Pacific Exposition, and completely destroyed in 1964. It was rebuilt in 1965.",Orion Pictures Corp.,Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander,Malcolm McDowell,Mary Steenburgen,
Time After Time,1979,Old St. Mary's Church (660 California Street at Grant),37.7749295,-122.4194155,,Orion Pictures Corp.,Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander,Malcolm McDowell,Mary Steenburgen,
